date,value
2025/12/10,386.69
2025/12/8,385.17
2025/12/5,387.13
2025/12/4,386.35
2025/12/3,387.97
2025/12/1,389.71
2025/11/28,383.12
2025/11/27,383.12
2025/11/26,380.08
2025/11/24,374.27
2025/11/21,374.85
2025/11/19,375.71
2025/11/18,371.65
2025/11/17,375.96
2025/11/13,385.99
2025/11/12,383.41
2025/11/11,378.38
2025/11/10,368.31
2025/11/9,368.31
2025/11/6,366.51
2025/11/3,368.12
2025/11/2,368.12
2025/10/31,366.4
2025/10/24,378.79
2025/10/23,377.28
2025/10/22,370.69
2025/10/20,395.49
2025/10/18,388.99
2025/10/16,394.64
2025/10/14,378.09
