date,value
2025-12-22,5.072647
2025-12-14,5.019842
2025-12-10,5.008617
2025-12-8,4.997855
2025-12-5,4.981997
2025-12-4,4.976877
2025-12-3,4.972014
2025-12-1,4.961031
2025-11-28,4.945093
2025-11-27,4.939761
2025-11-26,4.934252
2025-11-24,4.923612
2025-11-21,4.908325
2025-11-19,4.898366
2025-11-18,4.893272
2025-11-17,4.888094
2025-11-13,4.868116
2025-11-12,4.863346
2025-11-11,4.858177
2025-11-10,4.852405
2025-11-9,4.836679
2025-11-6,4.826199
2025-11-3,4.815383
2025-11-2,4.800249
2025-10-31,4.800249
2025-10-24,4.764311
2025-10-23,4.758995
2025-10-22,4.753832
2025-10-20,4.743373
2025-10-18,4.728187
2025-10-16,4.723015
2025-10-14,4.712641
2025-10-13,4.707374
2025-10-12,4.691774
2025-10-8,4.680959
2025-10-7,4.675746
2025-10-1,4.644512
2025-9-30,4.639166
2025-9-29,4.634185
2025-9-25,4.613969
2025-9-23,4.604004
2025-9-22,4.598938
2025-9-18,4.57941
2025-9-17,4.574372
2025-9-16,4.569095
2025-9-15,4.563646
2025-9-12,4.548921
2025-9-11,4.543645
2025-9-5,4.509022
2025-9-3,4.503943
2025-9-1,4.492574
2025-8-29,4.477655
2025-8-27,4.467124
2025-8-26,4.461681
2025-8-25,4.45644
2025-8-22,4.441009
2025-8-21,4.42508
2025-8-19,4.42508
2025-8-18,4.419772
2025-8-15,4.404855
2025-8-14,4.39987
2025-8-12,4.38533
2025-8-11,4.38533
2025-8-9,4.36993
2025-8-6,4.35929
2025-8-4,4.348656
2025-8-1,4.333926
2025-7-31,4.32979
2025-7-28,4.315733
2025-7-24,4.295488
2025-7-22,4.28419
2025-7-21,4.278292
2025-7-18,4.261725
2025-7-16,4.250348
2025-7-14,4.239514
2025-7-11,4.223537
2025-7-10,4.217901
2025-7-9,4.212454
2025-7-8,4.207171
2025-7-7,4.202144
2025-7-2,4.174479
2025-7-1,4.168789
2025-6-30,4.163436
2025-6-29,4.147889
2025-6-28,4.147889
2025-6-27,4.147889
2025-6-24,4.131476
2025-6-20,4.11057
2025-6-18,4.100129
2025-6-16,4.090299
2025-6-11,4.065053
2025-6-10,4.05982
2025-6-4,4.028994
2025-6-3,4.024099
2025-6-2,4.019269
2025-5-30,4.004122
2025-5-29,3.329272
2025-5-28,3.329272
2025-5-27,3.329272
2025-5-24,3.329272
2025-5-23,3.329272
2025-5-22,3.329272
2025-5-21,3.329272
2025-5-20,3.329272
2025-5-15,3.329272
2025-5-14,3.329272
2025-5-13,3.329272
2025-5-12,3.329272
2025-5-9,3.329272
2025-5-8,3.329272
2025-5-7,3.329272
2025-5-6,3.329272
2025-5-5,3.329272
2025-5-2,3.329272
2025-4-30,3.329272
2025-4-24,3.329272
2025-4-29,3.329272
2025-4-28,3.329272
2025-4-21,3.329272
2025-3-30,3.329272
2025-3-20,3.329272
2025-3-19,3.329272
2025-3-18,3.329272
2025-3-17,3.329272
2025-3-14,3.329272
2025-3-13,3.329272
2025-3-12,3.329272
2025-3-11,3.329272
2025-3-10,3.329272
2025-3-7,3.329272
2025-2-30,3.329272
2025-1-30,3.329272
2025-1-24,3.329272
2025-1-1,3.329272
2024-12-30,3.329272
