date,value
2025/12/10,78.58
2025/12/8,78.56
2025/12/5,77.68
2025/12/4,76.8
2025/12/3,76.48
2025/12/1,76.77
2025/11/28,74.39
2025/11/27,74.06
2025/11/26,73.94
2025/11/24,73.45
2025/11/21,73.39
2025/11/19,73.95
2025/11/18,72.78
2025/11/17,73.41
2025/11/13,75.12
2025/11/12,73.02
2025/11/11,73.68
2025/11/10,70.77
2025/11/9,69.15
2025/11/6,68.09
2025/11/3,69.35
2025/11/2,69.51
2025/10/31,69.51
2025/10/24,69.71
2025/10/23,68.14
2025/10/22,68.96
2025/10/20,76.13
2025/10/18,75.4
2025/10/16,74.9
2025/10/14,71.81
2025/10/13,71.15
2025/10/12,68.49
2025/10/8,73.69
2025/10/7,70.72
2025/10/1,65.45
2025/9/30,62.76
2025/9/29,63.22
2025/9/25,60.93
2025/9/23,61.67
2025/9/22,59.84
2025/9/18,57.91
2025/9/17,58.22
2025/9/16,58.89
2025/9/15,57.17
2025/9/12,57.76
2025/9/11,56.2
2025/9/5,52.23
2025/9/3,52.14
2025/9/1,50.33
2025/8/29,48.94
2025/8/27,47.95
2025/8/26,47.92
2025/8/25,47.81
2025/8/22,47.51
2025/8/21,47.58
2025/8/19,47.54
2025/8/18,47.74
2025/8/15,47.72
2025/8/14,47.52
2025/8/12,47.75
2025/8/11,47.72
2025/8/9,48.09
2025/8/6,47.78
2025/8/4,48.07
2025/8/1,48.01
2025/7/31,47.49
2025/7/28,48.12
2025/7/24,48.25
2025/7/22,48.02
2025/7/21,48.09
2025/7/18,47.29
2025/7/16,47.11
2025/7/14,47.25
2025/7/11,46.46
2025/7/10,46.24
2025/7/9,46.06
2025/7/8,46.52
2025/7/7,46.82
2025/7/2,47.08
2025/7/1,47.12
2025/6/30,46.68
2025/6/29,47.18
2025/6/28,47.18
2025/6/27,47.18
2025/6/24,47.36
2025/6/20,49.06
2025/6/18,49.32
2025/6/16,49.74
2025/6/11,47.06
2025/6/10,47.53
2025/6/4,46.59
2025/6/3,46.22
2025/6/2,46.42
2025/5/30,45.63
