date,value
2025-12-14,50.1461
2025-12-10,49.66406
2025-12-8,49.5703
2025-12-5,49.58082
2025-12-4,49.5359
2025-12-3,49.52774
2025-12-1,49.2907
2025-11-28,49.1959
2025-11-27,49.288
2025-11-26,49.1357
2025-11-24,48.99155
2025-11-21,48.9155
2025-11-19,48.87986
2025-11-18,49.1085
2025-11-17,49.14815
2025-11-13,49.2201
2025-11-12,48.9439
2025-11-11,48.90085
2025-11-10,48.8779
2025-11-9,48.8711
2025-11-6,48.395
2025-11-3,48.4619
2025-11-2,48.4472
2025-10-31,48.4954
2025-10-24,48.84741
2025-10-23,48.80199
2025-10-22,48.76977
2025-10-20,48.91807
2025-10-18,48.8582
2025-10-16,49.02675
2025-10-14,48.36819
2025-10-13,48.55204
2025-10-12,48.5554
2025-10-8,48.5644
2025-10-7,48.71559
2025-10-1,48.91572
2025-9-30,48.90123
2025-9-29,48.74315
2025-9-25,48.44147
2025-9-23,48.88122
2025-9-22,48.7836
2025-9-18,48.77707
2025-9-17,48.97134
2025-9-16,48.7731
2025-9-15,48.52691
2025-9-12,48.60756
2025-9-11,48.56125
2025-9-5,48.02368
2025-9-3,48.02118
2025-9-1,48.16776
2025-8-29,48.09395
2025-8-27,47.57025
2025-8-26,47.8493
2025-8-25,47.99737
2025-8-22,47.58683
2025-8-21,47.60458
2025-8-19,47.8389
2025-8-18,47.86016
2025-8-15,47.82601
2025-8-14,47.62069
2025-8-12,47.35038
2025-8-11,47.51237
2025-8-9,47.35259
2025-8-6,47.15273
2025-8-4,47.06935
2025-8-1,46.86548
2025-7-31,46.55604
2025-7-28,47.45593
2025-7-24,47.70515
2025-7-22,47.34488
2025-7-21,47.33002
2025-7-18,46.98302
2025-7-16,46.78269
2025-7-14,46.99832
2025-7-11,47.07132
2025-7-10,47.10977
2025-7-9,46.94882
2025-7-8,47.07679
2025-7-7,47.03476
2025-7-2,47.03424
2025-7-1,46.96666
2025-6-30,46.68676
2025-6-29,46.75045
2025-6-28,46.75045
2025-6-27,46.77137
2025-6-24,45.98615
2025-6-20,45.72447
2025-6-18,45.49203
2025-6-16,45.62461
2025-6-11,44.75795
2025-6-10,44.75695
2025-6-4,44.7571
2025-6-3,44.51268
2025-6-2,44.78811
2025-5-30,44.48161
2025-5-29,44.12558
2025-5-28,44.1318
2025-5-27,44.21067
2025-5-24,44.26664
2025-5-23,44.23705
2025-5-22,44.01702
2025-5-21,44.05382
2025-5-20,43.81616
2025-5-15,43.57321
2025-5-14,43.47185
2025-5-13,43.23274
2025-5-12,43.13815
2025-5-9,43.6027
2025-5-8,43.8879
2025-5-7,43.714
2025-5-6,43.7207
2025-5-5,43.5744
2025-5-2,43.7147
2025-4-30,43.7645
2025-4-29,43.6093
2025-4-28,43.4914
2025-4-24,43.9133
2025-4-21,43.2922
2025-3-30,40.9476
2025-3-20,41.496
2025-3-19,40.0854
2025-3-18,39.9484
2025-3-17,39.76
2025-3-14,39.7895
2025-3-13,39.9224
2025-3-12,39.8471
2025-3-11,39.59
2025-3-10,39.458
2025-3-7,39.3528
2025-2-30,38.1727
2025-1-30,37.2534
2025-1-24,37.0961
2025-1-1,36.8091
2024-12-30,36.6794
2024-11-30,36.5166
2024-10-30,37.066
2024-9-30,38.0865
2024-8-30,37.8943
2024-7-30,35.7754
2024-6-30,35.1845
2024-5-30,34.9809
2024-4-30,34.7111
2024-3-30,34.8816
2024-2-30,33.7149
2024-1-30,32.8604
2023-12-30,32.7526
2023-11-30,31.7608
2023-10-30,29.7431
2023-9-30,28.8602
2023-8-30,28.7228
2023-7-30,30.0296
2023-6-30,28.2048
2023-5-30,21.5319
2023-4-30,21.479
2023-3-30,20.7575
2023-2-30,19.9419
2023-1-30,20.4769
2022-12-30,19.9175
2022-11-30,19.3464
2022-10-30,18.7174
2022-9-30,17.9555
2022-8-30,18.1681
2022-7-30,18.2504
2022-6-30,17.5536
2022-5-30,17.5585
2022-4-30,15.5728
2022-3-30,16.3411
2022-2-30,15.738
2022-1-30,15.2433
2021-12-30,13.8259
2021-11-30,14.305
2021-10-30,11.0179
2021-9-30,10.3321
2021-8-30,9.8671
2021-7-30,10.1043
2021-6-30,10.3832
2021-5-30,10.3035
2021-4-30,9.9269
2021-3-30,9.579
2021-2-30,8.7969
2021-1-30,8.9377
2020-12-30,9.0861
2020-11-30,9.3156
2020-10-30,9.6147
2020-9-30,9.1446
2020-8-30,8.6677
2020-7-30,8.1628
2020-6-30,7.7221
2020-5-30,7.4872
2020-4-30,7.5901
2020-3-30,7.0737
2020-2-30,6.7465
2020-1-30,6.5489
2019-12-30,6.6236
