date,value
2025-12-14,42.6787
2025-12-10,42.60673
2025-12-8,42.56167
2025-12-5,42.51542
2025-12-4,42.40266
2025-12-3,42.43584
2025-12-1,42.42599
2025-11-28,42.50604
2025-11-27,42.4386
2025-11-26,42.44574
2025-11-24,42.44729
2025-11-21,42.4424
2025-11-19,42.35528
2025-11-18,42.34102
2025-11-17,42.33373
2025-11-13,42.25183
2025-11-12,42.2403
2025-11-11,42.23391
2025-11-10,42.22486
2025-11-9,42.1979
2025-11-6,42.08186
2025-11-3,42.05489
2025-11-2,42.01978
2025-10-31,42.04609
2025-10-24,42.05614
2025-10-23,41.9812
2025-10-22,41.9754
2025-10-20,41.95711
2025-10-18,41.9025
2025-10-16,41.83494
2025-10-14,41.82699
2025-10-13,41.80894
2025-10-12,41.77845
2025-10-8,41.70878
2025-10-7,41.7003
2025-10-1,41.59056
2025-9-30,41.58173
2025-9-29,41.57652
2025-9-25,41.46963
2025-9-23,41.39875
2025-9-22,41.38456
2025-9-18,41.29801
2025-9-17,41.27322
2025-9-16,41.28935
2025-9-15,41.33145
2025-9-12,41.36514
2025-9-11,41.28733
2025-9-5,41.1883
2025-9-3,41.16641
2025-9-1,41.10699
2025-8-29,41.14947
2025-8-27,41.03993
2025-8-26,41.02506
2025-8-25,40.99423
2025-8-22,41.00519
2025-8-21,40.9311
2025-8-19,40.891
2025-8-18,40.89069
2025-8-15,40.89006
2025-8-14,40.7933
2025-8-12,40.70689
2025-8-11,40.71509
2025-8-9,40.65153
2025-8-6,40.67728
2025-8-4,40.66883
2025-8-1,40.64334
2025-7-31,40.5851
2025-7-28,40.5589
2025-7-24,40.46945
2025-7-22,40.42135
2025-7-21,40.38632
2025-7-18,40.37472
2025-7-16,40.25497
2025-7-14,40.20705
2025-7-11,40.16849
2025-7-10,40.05932
2025-7-9,40.04304
2025-7-8,40.01145
2025-7-7,39.97066
2025-7-2,39.80576
2025-7-1,39.8411
2025-6-30,39.78428
2025-6-29,39.86327
2025-6-28,39.86327
2025-6-27,39.87776
2025-6-24,39.57673
2025-6-20,39.67606
2025-6-18,39.53456
2025-6-16,39.38763
2025-6-11,39.17313
2025-6-10,39.22418
2025-6-4,39.11182
2025-6-3,39.11232
2025-6-2,39.16994
2025-5-30,39.23605
2025-5-29,39.09901
2025-5-28,39.06504
2025-5-27,38.93282
2025-5-24,38.91925
2025-5-23,39.02413
2025-5-22,38.90866
2025-5-21,38.86104
2025-5-20,38.86157
2025-5-15,38.73351
2025-5-14,38.79976
2025-5-13,38.75851
2025-5-12,38.7621
2025-5-9,38.7071
2025-5-8,38.6255
2025-5-7,38.5953
2025-5-6,38.5799
2025-5-5,38.4386
2025-5-2,38.4375
2025-4-30,38.4363
2025-4-24,38.2001
2025-4-29,38.4356
2025-4-28,38.3144
2025-4-21,38.0716
2025-3-30,38
2025-3-20,38.0523
2025-3-19,36.6582
2025-3-18,36.6799
2025-3-17,36.6008
2025-3-14,36.6046
2025-3-13,36.6059
2025-3-12,36.5746
2025-3-11,36.5215
2025-3-10,36.3808
2025-3-7,36.4404
2025-2-30,36.43
2025-1-30,35.77
2025-1-24,35.6556
2025-1-1,35.2868
2024-12-30,35.2
2024-11-30,34.63
2024-10-30,34.25
2024-9-30,34.15
2024-8-30,34.02
2024-7-30,33.01
2024-6-30,32.89
2024-5-30,32.25
2024-4-30,32.4
2024-3-30,32.32
2024-2-30,31.18
2024-1-30,30.34
2023-12-30,29.45
2023-11-30,28.91
2023-10-30,28.18
2023-9-30,27.42
2023-8-30,26.62
2023-7-30,26.99
2023-6-30,25.87
2023-5-30,20.08
2023-4-30,19.45
2023-3-30,19.14
2023-2-30,18.9
2023-1-30,18.82
2022-12-30,18.73
2022-11-30,18.65
2022-10-30,18.62
2022-9-30,18.54
2022-8-30,18.19
2022-7-30,17.94
2022-6-30,16.7
2022-5-30,16.38
2022-4-30,14.81
2022-3-30,14.67
2022-2-30,14.06
2022-1-30,13.63
2021-12-30,12.24
2021-11-30,12.68
2021-10-30,9.5
2021-9-30,8.86
2021-8-30,8.39
2021-7-30,8.51
2021-6-30,8.72
2021-5-30,8.57
2021-4-30,8.19
2021-3-30,8.34
2021-2-30,7.21
2021-1-30,7.39
2020-12-30,7.35
2020-11-30,7.81
2020-10-30,8.14
2020-9-30,7.82
2020-8-30,7.32
2020-7-30,6.95
2020-6-30,6.85
2020-5-30,6.8
2020-4-30,6.99
2020-3-30,6.45
2020-2-30,6.17
2020-1-30,5.98
2019-12-30,5.95
