date,mom,qoq,yoy,ytd,accumulative
2025/9/30,0.0323,0.0751,0.3347,0.2560,6.6517
2025/8/30,0.0204,,0.3313,,6.4123
2025/7/30,0.0206,,0.3370,,6.2641
2025/6/30,0.0137,0.0601,0.3523,0.1683,6.1175
2025/5/30,0.0153,,0.3559,,6.0213
2025/4/30,0.0300,,0.3805,,5.9155
2025/3/30,0.0260,0.1021,0.3829,0.1021,5.7140
2025/2/30,0.0227,,0.3904,,5.5439
2025/1/30,0.0503,,0.4211,,5.3987
2024/12/30,0.0103,0.0627,0.4437,,5.0922
2024/11/30,0.0224,,0.4709,,5.0301
2024/10/30,0.0288,,0.4858,,4.8980
2024/9/30,0.0297,0.0892,0.4938,,4.7329
2024/8/30,0.0247,,0.5196,,4.5675
2024/7/30,0.0323,,0.6178,,4.4333
2024/6/30,0.0164,0.0841,0.7159,0.2473,4.2633
2024/5/30,0.0337,,0.7544,,4.1784
2024/4/30,0.0318,,0.6979,0.1872,4.0096
2024/3/30,0.0316,0.1506,0.6849,0.1506,3.8552
2024/2/30,0.0453,,0.6707,,3.7065
2024/1/30,0.0670,,0.6486,,3.5025
2023/12/30,0.0293,0.0995,0.6478,,3.2198
2023/11/30,0.0328,,0.6198,,3.0996
2023/10/30,0.0343,,0.6135,,2.9695
2023/9/30,0.0475,0.2512,0.6153,,2.8378
2023/8/30,0.0909,,0.5895,,2.6638
2023/7/30,0.0949,,0.4783,,2.3585
2023/6/30,0.0392,0.0645,0.3822,,2.0674
2023/5/30,0.0004,,0.3959,,1.9517
2023/4/30,0.0239,,0.4369,,1.9505
2023/3/30,0.0229,0.1253,0.5051,,1.8816
2023/2/30,0.0315,,0.5518,,1.8171
2023/1/30,0.0665,,0.5767,,1.7311
2022/12/30,0.0118,0.0778,0.6425,,1.5608
2022/11/30,0.0288,,0.8438,,1.5309
2022/10/30,0.0354,,0.8551,,1.4601
2022/9/30,0.0308,0.0706,0.8345,,1.3760
2022/8/30,0.0146,,0.8019,,1.3050
2022/7/30,0.0237,,0.7959,,1.2718
2022/6/30,0.0495,0.1591,0.7859,,1.2192
2022/5/30,0.0298,,0.7347,,1.1146
2022/4/30,0.0725,,0.6995,,1.0534
2022/3/30,0.0546,0.2280,0.6112,,0.9146
2022/2/30,0.0481,,0.5443,,0.8154
2022/1/30,0.1110,,0.4868,,0.7321
2021/12/30,0.1358,0.2038,0.3608,,0.5591
2021/11/30,0.0351,,0.2130,,0.3727
2021/10/30,0.0239,,0.1989,,0.3261
2021/9/30,0.0125,0.0423,0.1958,,0.2952
2021/8/30,0.0112,,0.1925,,0.2792
2021/7/30,0.0180,,0.1895,,0.2650
2021/6/30,0.0194,0.0458,0.1752,,0.2426
2021/5/30,0.0089,,0.1659,,0.2190
2021/4/30,0.0168,,0.1713,,0.2082
2021/3/30,0.0108,0.0371,0.1617,,0.1883
2021/2/30,0.0091,,0.1559,,0.1756
2021/1/30,0.0168,,0.1495,,0.1650
2020/12/30,0.0125,0.0578,0.1457,,0.1457
2020/11/30,0.0230,,,,
2020/10/30,0.0213,,,,
2020/9/30,0.0097,0.0243,,,
2020/8/30,0.0086,,,,
2020/7/30,0.0058,,,,
2020/6/30,0.0113,0.0338,,,
2020/5/30,0.0136,,,,
2020/4/30,0.0085,,,,
2020/3/30,0.0057,0.0228,,,
2020/2/30,0.0035,,,,
2020/1/30,0.0135,,,,
