metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity	519762986	689047270	893029240	1726351302	3099774530	5448908796	5513236912	7006128981	8604021382
Total assets	25701274570	34169271155	50236195087	87632574064	165281135254	268785843836	308595424427	343756579524	405105319745
Income statement									
Revenue	987754213	1331872294	2020098908	3716909075	7483888066	16906372724	20610784603	23193224526	26492874395
Operating income	143836496	266902350	269227798	133974144	-206083607	582424454	1072560442	1863512042	2439297376
Net income	214662122	294948728	451813551	874584194	1390038546	2871345742	3363782885	4165663705	4939242531
Statistics									
Price	13.95	18	20.20	40.34	61.10	159.90	126.70	157.90	184
Dividend		0.0383	0.0676		0.0303	0.0213	0.0411		
#config	ist:agesa	180000000	1	Revenue|Net income					
