metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	200000000	243000000	269886357	3703069781	8593948378	15339217618	18120450295	24296128592	32379304000
Short term liabilities	183000000	189000000	120459617	485297349	1208732568	2869118970	3593778109	3534669882	3255074983
Long term liabilities	426000000	398000000	813828260	51509862	167988851	6839859540	4361197723	4057703845	4382275181
Equity	-498000000	-469000000	-330873652	8992470149	16310730120	26273748156	30022953568	41673578219	44990532253
Total assets	1981804000	2200000000	3548863943	17364655979	42924055942	100607416028	110757784157	150387234459	171771138779
Income statement									
Revenue	2211000000	2689000000	3700025016	12105547615	20018347385	26179980665	31877333850	35604934581	36846366275
Operating income	183441000	273000000	396749747	1400734012	5379859753	5016800672	6300012637	7081835006	8400712918
Net income	-8186930	283394000	130760997	312468500	3101599425	1764261082	2011802140	1625031819	2826098426
Statistics									
Price				7.24	10.31	21.22	20.50	27.86	29
Dividend									
#config	ist:ahgaz	2600000000	1	Total assets|Revenue|Operating income					
