metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	121503123	314171908	1117684997	1243758979	1671172797	1054406751	2957638877	6639567818	7992233062
Short term liabilities	2086653890	2036639133	3159423458	4743116770	8207983718	13334845029	14157865658	17073802013	18013810184
Long term liabilities	1168440696	909684729	2503301060	3865354022	5232115096	14832221898	19542535467	25900672169	31087477273
Equity	3490445114	4219185456	9651817988	17208080034	31729111501	40645796093	45192948374	48938692419	53334205083
Total assets	8501122048	9502694305	20649538050	33232507406	55806281421	82773559774	93320477682	108006950504	116232986935
Income statement									
Revenue	5578594781	7230546535	13887496594	45638094433	35172257432	31638819822	35406873596	39289626222	40622710048
Operating income	981739441	1032023851	2043426383	5316798704	6312310190	5305050245	6485055798	7416375351	8157644311
Net income	329182900	470035971	1679749785	4561511070	5496564945	2007268539	1679968527	2043088339	2338887611
Statistics									
Price	1.94	3.64	10.00	47.00	30.04	38.86	34.40	33.34	37
Dividend				0.0203	0.0286	0.0277			
#config	ist:aksen	1226338236	1	Equity|Total assets|Revenue|Operating income					
