metricName,2019/12/30,2020/12/30,2021/12/30,2022/12/30,2023/12/30,2024/12/30,2025/3/30,2025/6/30,2025/9/30,2025/12/30,2026/3/30
Balance sheet,,,,,,,,,,,
Cash & cash equivalents,12808790,33110678,123143653,854271160,1431877750,896686076,585545058,343921797,1291796905,975127113,1180428917
Short term liabilities,4861085,9949526,15065403,16659389,183821035,888620870,1153670087,1777511995,1650628011,2056552402,1796142669
Long term liabilities,8340329,6847000,3849521,228422,104436193,429660178,443047499,812165914,1139673974,1514229192,1435366373
Equity,19073203,57914360,108825772,956689205,2732176701,3796806994,4162909717,5072384434,5311812182,5286209835,5872170565
Total assets,78823120,181543685,440607278,1970722031,5074913301,7242462936,7794709564,10128869514,11803087117,11896218104,13050156123
Income statement,,,,,,,,,,,
Revenue,138266723,233434591,438553686,2297365521,7733021378,7698292255,7888744786,7724058648,8319073616,8236540064,7658383142
Operating income,10543310,41387397,14254056,421679608,1425367359,716602829,1086728454,513614078,346062308,606008353,288742974
Net income,9889718,38823580,48402562,542743594,1039153019,199205262,574649237,-7188385,-78191929,-10754513,60886011
Statistics,,,,,,,,,,,
Price,,,,36.05,88.25,68.05,51.35,41.38,46,41,36
Dividend,,,,,0.0112,0.0136,,,0.0035,,
#config,ist:alfas,368000000,1,Equity|Total assets|Revenue|Operating income,,,,,,,
