metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity	1285889319	1601893365	1884514731	3466206841	6449457562	10071525906	8412188398	10110448173	11713016220
Total assets	27146994547	36087752603	51499992517	90659179398	162865081357	260339161440	289179823223	323826917540	376617287092
Income statement									
Revenue	1229029128	1684083168	1968135504	3520922220	7066740269	12415428685	14391457437	16135181520	18227080433
Operating income	353733433	472210000	501022443	565160884	1228877187	2132193879	2526425239	2666144381	2888571501
Net income	99448038	102198183	699988065	1391751856	2853815200	4305802455	4413110564	4608133341	5381673655
Statistics									
Price	6.95	8.33	11.67	23.08	39.00	103.30	90.20	79.30	90
Dividend		0.1104	0.0732	0.0652	0.0621	0.0492	0.0555		
#config	ist:anhyt	430000000	1	Revenue|Net income					
