metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity	1827674315	2385996930	2548455142	4756818270	12217135544	23726137445	23235697683	26716321903	30777090415
Total assets	9439606053	11651496402	16120481026	29414397226	56381517782	89267931589	101350749208	107087825224	116685877967
Income statement									
Revenue	6606856218	8015704097	10735252002	23755830190	44228418367	69589122185	76318271665	82512986896	90948222452
Operating income	643318174	734905144	862895009	1429589896	7357036152	14992793547	13865812955	13955681955	15233028444
Net income	449200726	510025565	589834604	1323551677	6380159747	11538847383	10649536370	11077142671	12217629764
Statistics									
Price	1.17	1.85	1.56	4.02	15.88	26.28	23.63	23.25	21.4
Dividend		0.0560	0.0437				0.0421		
#config	ist:ansgr	2000000000	1	Revenue|Net income					
