metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	6937060	12002246	16014589	24529219	48791778	50815825	43866671	60075144	71440375
Short term liabilities	6151755	10230877	13044100	35229350	57448389	62266790	79234594	130024511	142386887
Long term liabilities	8803381	6844348	19535399	16209793	44461154	75776290	79328606	75109665	79286229
Equity	9658284	13820045	19383483	24947523	53169904	67170822	71234616	68982356	68119912
Total assets	34729500	46549044	85078606	132242678	258137907	397726074	447717763	502811997	518181285
Income statement									
Revenue	31941773	40872483	68184437	133915508	257103739	428548223	465400624	485179826	504234717
Operating income	2653758	4852296	7020144	9090197	10157657	7122426	6862705	9394480	13552360
Net income	953026	2878989	3251009	4723057	8395410	-2207288	-4697289	-6846310	-3293802
Statistics									
Price	20.80	30.48	48.80	112.20	128.40	142.70	132.20	122.50	127
Dividend			0.0639	0.0384	0.0170				
#config	ist:arclk	675728205	1000	Equity|Total assets|Revenue|Operating income					
