metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	3513842	4081654	2492096	5686996	6610029	16637264	12832115	15791773	14437566
Short term liabilities	2223519	3007025	5070188	9763938	18808312	22835575	32773678	36678595	36995077
Long term liabilities	9098	883448	332762	1069683	1129602	9726747	171730	154463	1211187
Equity	13498388	17881761	25563442	39636982	87311033	140298941	156696703	169002749	186355356
Total assets	25633043	34094229	46413298	76043841	150577885	242797511	270045781	290272305	324319352
Income statement									
Revenue	13012551	16104455	20138953	35281677	73592774	120205594	127857333	138100472	149421398
Operating income	3185966	5296733	9425947	12114694	25006582	27342742	30212485	35307744	38591871
Net income	3340447	4449106	7130563	11915661	7290475	15298743	16169798	17885942	20647282
Statistics									
Price	10.24	18.44	21.12	62.15	46.90	73.20	118.30	150.80	215
Dividend		0.0084	0.0094	0.0049	0.0019	0.0016			0.0013
#config	ist:asels	4560000000	1000	Equity|Total assets|Revenue|Operating income					
