metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	294656978	530144576	769346310	536862408	1258631029	5298838800	6392082527	6388292415	6123256161
Short term liabilities	143235460	365916042	822251770	1790690294	1280325018	1981289318	2251750415	2816984609	3798999993
Long term liabilities	157646633	382142141	317745232	140818150	80554545	149685796	132824406	97392384	91237379
Equity	1094146603	1003698864	1244097043	2143323369	4401509999	10004136433	10996671268	11394854022	11581454553
Total assets	2047930533	2668789174	3812039566	7020597441	10931219676	18809508685	20810507705	21907688359	23085060559
Income statement									
Revenue	3439333548	3677878355	5321483536	10993823980	21324856578	31533780551	32894173226	33177056498	33791923891
Operating income	201497349	-117814337	70906559	-68506555	326305206	4770330257	4187575332	1809808536	-131646158
Net income	110570814	-199747810	95150799	-442655712	951965590	3599078527	2918422545	901126875	-1187022675
Statistics									
Price	18.81	51.00	90.80	92.50	93.45	303.75	251.25	181.70	183.10
Dividend									
#config	ist:banvt	100023579	1	Equity|Total assets|Revenue					
