metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	2287482985	2606320679	3172103506	4194051336	4237651987	4407844658	5257074590	3499302185	1537221941
Short term liabilities	173135063	238711531	275160443	335052531	623805967	874550906	1403811350	1252214771	1450976741
Long term liabilities	876224843	1161881678	1041760111	993836100	3040186806	5584533343	5961251460	6085705807	1305218890
Equity	1905378075	1879266773	2369280184	1857364664	14163216122	20428537373	24409181018	25020282504	27103772809
Total assets	5334760309	5786974616	7098060198	11038676081	33356604929	45366174764	48351128800	48549037734	51720189973
Income statement									
Revenue	4058776051	5034842325	6548274434	17589606735	29082031580	36695616273	40381525485	44112255548	45093358733
Operating income	527438207	668899572	827057171	329472510	3473713910	4761404418	5791499467	4837548407	3919009426
Net income	415592179	532690901	716656154	382172146	3899067802	2378919082	3275746323	2565184793	3364127759
Statistics									
Price			11.85	21.36	18.96	29.70	27.04	34.56	38
Dividend				0.0914	0.1053	0.0991		0.0528	
#config	ist:basgz	700000000	1	Total assets|Revenue|Operating income					
