metricName,2019/12/30,2020/12/30,2021/12/30,2022/12/30,2023/12/30,2024/12/30,2025/3/30,2025/6/30,2025/9/30,2025/12/30,2026/3/30
Balance sheet,,,,,,,,,,,
Cash & cash equivalents,1696438,3776474,2988647,4194110,6988327,8239651,23489630,13627426,25830000,14151894,29957856
Short term liabilities,1031688,1377627,1792893,2450374,4658830,8146338,9602131,10292884,11048044,13043946,14142152
Long term liabilities,3280209,4715679,6349151,9460474,17679128,28829650,32488120,36168429,37623577,39682422,43933015
Equity,4237290,7175687,7605615,25200975,69111983,117640111,131949000,135593790,152060028,165584579,188976717
Total assets,14852270,23430292,30412122,64684433,148132731,235848815,286716912,295464071,326727123,338093384,398302331
Income statement,,,,,,,,,,,
Revenue,40211942,55495364,70698507,147715566,328441924,519566633,563520886,607506990,661249817,721062506,786202177
Operating income,2233790,3919346,4457213,9914296,4808442,9408778,7563065,10408251,14598513,15946069,18689194
Net income,1224877,2606815,2932482,8156913,15440733,18586744,17419288,15577779,16501519,18632108,22382689
Statistics,,,,,,,,,,,
Price,23.44,38.40,30.83,68.45,150.50,262.00,223.00,247.38,271,270,339
Dividend,,0.0097,0.0866,0.0292,0.0219,0.0204,,0.0080,0.0076,0.0088,
#config,ist:bimas,1200000000,1000,Total assets|Revenue|Net income,,,,,,,
