metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	599219	36793656	216902498	246156100	1368677090	1104421076	2120206013	2373962193	2934508493
Short term liabilities	320153981	211678257	122327598	72381603	565509232	1339662448	1194808619	1889486075	2224750017
Long term liabilities	75373859	136359565	50290474	47493707	331603074	99632777	923722556	1040808769	970485787
Equity	209888537	370980523	944724077	1640269471	4551246401	6096421409	6522010969	6454168410	6715562561
Total assets	859656906	1053981738	1486179167	2523752974	6747440926	8584872624	10830476353	11542156029	12608540662
Income statement									
Revenue	778325448	732810563	913645341	3414203760	8901574740	10123193596	10006886767	10339685436	11051047406
Operating income	106744413	105557257	75923057	573048678	2177079018	963569385	683783757	532676639	419831563
Net income	29620509	12783714	37624029	473448824	1404193543	161070590	-135964132	-462310574	-629754476
Statistics									
Price			4.05	16.00	32.08	23.32	19.10	20.66	20
Dividend				0.0284	0.0520	0	0		
#config	ist:bobet	380000000	1	Total assets|Revenue|Operating income					
