metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	945308	789861	2256973	1508492	3808588	2356166	4118961	5010936	7691422
Short term liabilities	1787468	2026607	3543437	7879792	7805120	9188570	9954195	9655446	10202825
Long term liabilities	790742	820703	1546463	1474234	2461795	3069380	3650564	4204247	3355388
Equity	2885575	3548148	6650087	11856838	24948662	30098413	31889891	34437757	36974297
Total assets	6931740	8039107	16476483	27597988	55917026	55439055	65350302	75244795	73798126
Income statement									
Revenue	4574046	3728997	7329974	22204754	42175476	55065658	50259379	54593453	63335653
Operating income	258609	166321	331922	2639663	6372405	1852076	913183	1069110	2452505
Net income	65704	-10661	94425	1349894	4102826	-227688	-878997	-269403	994995
Statistics									
Price	11.46	28.60	26.90	84.05	650.00	432.50	388.50	323.00	426
Dividend									
#config	ist:brsan	141771582	1000	Equity|Revenue|Operating income					
