metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	50588	3388	1593	40445	21082	32532	29439	42212	118716
Short term liabilities	284313	427102	1024829	613862	795054	773260	649587	904397	834050
Long term liabilities	614037	742293	718198	1716091	2399841	1726448	1836521	1842382	2078286
Equity	290399	-49438	23335	70479	3803474	7615082	10827689	11547941	12046933
Total assets	1336082	1330417	2289182	3343156	8826624	12772526	14658703	15489463	16358350
Income statement									
Revenue	237007	471966	737083	2114546	4122085	4272310	4379497	4750567	5237741
Operating income	-97568	-43050	-28764	27095	-80897	-430186	-256332	-454751	-478405
Net income	-198700	-348458	-689575	-769715	872513	250748	635818	441605	194487
Statistics									
Price	0.35	0.64	0.54	1.49	3.32	11.95	13.06	14.46	15
Dividend									
#config	ist:bsoke	1600000000	1000	Revenue					
