metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	2932770	4683760	4215247	14769315	22130426	23349368	22106053	22464627	30324709
Short term liabilities	1493199	1299727	1367785	5788342	18063328	21405782	26811458	26391879	23744928
Long term liabilities	3998243	4860685	8023148	15055775	18976256	27738759	29828396	31682374	32597938
Equity	6515034	7662411	13055214	20171058	39286590	53704176	58218170	62445239	72866518
Total assets	15959755	19147331	33261900	58716903	110157984	148326993	169784021	183183793	194460339
Income statement									
Revenue	12007762	14391013	21929535	53529507	101042378	137683141	146611140	158153132	173643261
Operating income	1517321	2143130	3433828	8006472	14474950	18885398	18546767	18899978	22270403
Net income	965769	1232671	2271412	4331051	20579819	14813376	13372792	13015645	15024608
Statistics									
Price	3.61	6.02	8.10	18.58	47.45	60.80	53.25	49.20	46
Dividend		0.0217	0.0351	0.0187	0.0116	0.0100	0.0208		
#config	ist:ccola	2798078602	1000	Total assets|Revenue|Operating income					
