metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		15124650	50095641	72602835	783857307	596935273	369901769	1243292916	1300454846
Short term liabilities		11530525	23278430	90980013	189325624	1131635382	1455881337	1316035954	2023305206
Long term liabilities		15883952	9575108	18669896	9909922	1034118463	976291743	812533002	703509515
Equity		202068696	408187367	710018081	3532412328	6512597040	7419055115	8143550355	8664761509
Total assets		503674746	863844551	1072031736	4776116817	15004621801	16758249835	19130402066	20980559161
Income statement									
Revenue		181723929	289609415	967043250	1778765813	3135240168	3278206377	3309454628	3282823620
Operating income		47167021	56488876	425033111	595623918	1123533371	1126075870	1147708987	1005773402
Net income		27700348	40908451	331740637	301841221	953860375	1126372153	1253678571	924177673
Statistics									
Price					10.13	8.33	10.24	12.04	16
Dividend									
#config	ist:cvkmd	1400000000	1	Equity|Total assets|Revenue|Operating income					
