metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	1209805	1217144	4241380	7745770	12272703	12724783	7445025	2733364	2974544
Short term liabilities	2201933	2152609	2937615	2373045	4594590	6199938	9358826	15831077	18625256
Long term liabilities	236119	234307	90669	221458	6185862	5904446	5743253	6601476	8195531
Equity	1245251	2286951	4350425	11669381	41339017	54956406	55092483	60480503	67104985
Total assets	4664944	7117134	9754599	20665180	67866864	92209294	105978665	122191870	126926708
Income statement									
Revenue	9844133	18900148	24306203	46781376	149244881	188374522	196294033	217498245	237867306
Operating income	672058	1706300	3565094	9200782	31183530	15950759	14088553	13396990	15436816
Net income	75777	1037334	2331581	7824186	19622080	7592264	5192415	5313563	7153222
Statistics									
Price	9.53	28.84	43.90	196.00	255.00	196.90	222.70	174.20	176
Dividend			0.5604	0.1080	0.1247	0.1470	0.1188		
#config	ist:doas	220000000	1000	Revenue|Operating income					
