metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	33401880	107808166	140075618	222205334	525667363	1068644337	1108814812	927368233	1038025951
Short term liabilities	140568023	212773208	163824510	153640817	13321723	57214628	340603638	351950044	529200126
Long term liabilities	1868624	953357	1703719	16936597	36765284	982659928	753506029	888929874	749413749
Equity	221757574	304962907	397636144	979644202	4631797467	6136767543	6846350238	7261353882	7950788742
Total assets	558517929	658153913	995842285	1302007128	4631797467	7441361869	8321308785	8923211265	9742353326
Income statement									
Revenue	570216363	735304836	829471928	1236878302	2266469243	2517516935	2747574659	2880716277	3273553372
Operating income	68709483	117477007	219468444	417772685	539146976	744064424	961252382	1040799293	931607561
Net income	45309370	102201998	117972873	621150719	370193948	253526073	458887929	446504165	477400835
Statistics									
Price	5.41	15	23	42	45	69	62	89.10	119
Dividend		0.0166	0.0120	0.0133	0.0206	0.0250	0.0243		
#config	ist:eggub	100000000	1	Total assets|Revenue|Operating income					
