metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	569338	2311261	3728285	6107609	15866693	8338840	4695865	8241454	14127815
Short term liabilities	3178621	2201618	2759735	3114408	3232993	12905178	12704432	16089444	16634819
Long term liabilities	1590567	2983427	2030678	3103650	1268969	19465	19465	5019465	43727770
Equity	13744520	14495188	15746887	18368023	57053551	95803122	108700981	119672092	128854763
Total assets	24185240	28644290	30760452	46959179	121468531	204902957	218072971	240065930	297757619
Income statement									
Revenue	5667598	4730462	6737461	8122851	28495819	31899173	52423530	71105898	76690712
Operating income	1353951	1064640	1737959	3328321	3742839	9138932	14471799	21121037	23549821
Net income	778350	836563	1332323	2997133	-4074314	13197381	16369027	21396047	19338527
Statistics									
Price	1.47	2.15	2.19	8.73	7.15	14.13	12.78	18.00	20
Dividend		0.0084	0.0119	0.0353	0.0328			0.0264	
#config	ist:ekgyo	3800000000	1000	Total assets|Revenue|Operating income					
