metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	12965429	20749497	56910822	46828232	89345001	117655322	123657287	131757028	246114478
Short term liabilities	310854	546857	804435	1145359	131815	152274	197861	4972	
Long term liabilities	92781	839035	1394581	2378213	3454920	3950390	4893456	5418105	
Equity	39012383	49133937	88978005	121008704	215659276	279417933	310192023	328412001	354394686
Total assets	49409979	62053819	121324988	160441430	276940651	363510879	398631156	432636896	467778910
Income statement									
Revenue	10733112	11617008	25782036	61804006	76704889	100541405	112182952	122999651	140662584
Operating income	4460013	5165526	6332881	2700586	21653049	36537777	35731836	35931109	33623603
Net income	3888760	4505060	5159042	1961307	16969183	24690869	23863244	29203905	33206159
Statistics									
Price	6.44	7.38	15.35	33.14	34.10	50.35	60.70	66.45	70
Dividend		0.0262		0.0435	0.0113	0.0471	0.0313	0.0050	0.0120
#config	ist:enkai	6000000000	1000	Total assets|Revenue|Operating income|Net income					
