metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	10590024	13542177	23189668	15886645	25810792	56846202	71994499	83896762	97706053
Short term liabilities	5559344	3785528	9715673	21172290	56761083	36711064	27750349	28680057	34984045
Long term liabilities	2141633	2812743	6960671	8408449	10979619	84577132	100407345	106619118	111815683
Equity	30299298	39809427	82292893	115645231	186191490	236947401	252488620	266482251	279759808
Total assets	46672625	57993912	126442297	174893623	310033249	425158974	454840822	492364562	523646428
Income statement									
Revenue	27465185	32048029	68227404	127782881	147899792	204059940	207856934	198799478	202009460
Operating income	4456996	5646228	24865800	23651877	13227461	21506311	15012140	12116332	5370763
Net income	3316527	3309093	15527082	18005034	4033089	13481348	8306814	5227497	277731
Statistics									
Price	4.52	7.61	14.18	20.63	21.13	24.60	22.66	26.66	29
Dividend		0.0256	0.1201	0.1227		0.0121		0.0094	
#config	ist:eregl	7000000000	1000	Total assets|Revenue|Operating income					
