metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		8246	16893	69781	1795873	972817	855641	60538	389957
Short term liabilities		56000	57000	140000	221432	187335	294458	327350	362194
Long term liabilities		5000	363	86644	233753	448351	466185	1012458	1549941
Equity		104850	266242	848830	5081969	7583967	8529752	9070305	10170463
Total assets		238000	602033	1845421	8241075	11712489	12734053	14040506	16505872
Income statement									
Revenue		326422	603548	2116375	6460341	8219713	9036000	8834762	9891350
Operating income		72412	141538	477977	1818608	1604064	1650050	1282678	1690324
Net income		49722	104421	375000	764762	223111	334957	361983	694561
Statistics									
Price					57.33	33.12	29.50	25.66	28.10
Dividend									
#config	ist:eupwr	660000000	1000	Equity|Total assets|Revenue|Operating income					
