metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	3202952	8124073	14173931	10114706	15224502	22330114	49385215	56987878	54529577
Short term liabilities	3648110	3932881	8256919	13218603	33963854	44857577	52900560	51606745	57786472
Long term liabilities	2559936	4147993	10799308	24699772	41791179	78899094	85761534	96010484	94515570
Equity	4664921	7043902	10148538	21402174	73007545	115223488	124846013	140459002	158771690
Total assets	16406372	24349179	42792853	96052247	217007029	326770164	378773194	417178028	428410129
Income statement									
Revenue	39209019	49451407	71101258	171796902	411905593	594995138	631708483	719723187	767578758
Operating income	2420803	4806851	9402646	19126426	46816897	35308931	35987161	43624295	42131365
Net income	1959484	4194913	8801005	18613943	49055669	38863566	36377630	36512900	36352177
Statistics									
Price	7.04	12.51	23.94	52.45	76.50	93.95	104.10	89.25	99
Dividend		0.0668	0.0473	0.0540	0.0583	0.0495	0.0164		0.0623
#config	ist:froto	3509100000	1000	Total assets|Revenue|Operating income|Net income					
