metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity	54050747	62409195	80300855	153124120	245621518	331408618	340666959	379129585	410433117
Total assets	428554148	540912805	850475600	1303578483	2201713095	3002579379	3498288811	3821709468	3498971972
Income statement									
Revenue	42045625	39393261	60192823	132800968	233566637	540538651	609863986	668731949	711299722
Operating income	8172268	9208596	17858055	76003724	103784318	121902640	128220891	135066001	134841520
Net income	6241390	6385163	13587564	58510306	86907216	92178886	95098002	101202347	109273696
Statistics									
Price	11.21	10.37	11.46	30.04	58.85	126.20	117.10	135.00	140
Dividend			0.0211	0.0206	0.0709	0.0436	0.0357		
#config	ist:garan	4200000000	1000	Revenue|Net income					
