metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	63236815	35273184	651886551	1078080662	1408179377	1902964064	1905565757	540565277	523368101
Short term liabilities	142866808	120227492	122535927	234885182	1223324469	713025468	1507770807	1507807544	1938854034
Long term liabilities	50003274	47162208	28571853	80133749	64363889	434323919	401771054	365159838	373073861
Equity	243483593	557361088	1281320646	2793805525	4858621667	7307668093	8353106627	8923292060	9759107759
Total assets	560232049	1078241993	2119420852	3682402466	7712311925	12310632463	14201509523	16257282866	17281651515
Income statement									
Revenue	1795146033	2149967988	2501352835	5445223843	8151619752	14740692703	15499288749	16633340021	18206867435
Operating income	179154985	235727996	205461746	936363671	484840194	1284327196	1470217252	1616981373	1796953488
Net income	141937747	208235298	310845370	1080446610	452382491	143557722	307371292	557197712	664058192
Statistics									
Price			15.41	51.80	48.58	117.00	144.60	153.00	184.90
Dividend				0.0226	0.0281	0.0154			0.0025
#config	ist:genil	300000000	1	Equity|Total assets|Revenue|Operating income					
