metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	58180	127698	147230	952	2019769	1135734	1350612	852916	564593
Short term liabilities	103000	197000	218121	559939	703624	784476	835044	1246716	974161
Long term liabilities	74000	126933	20305	267634	465010	569924	745664	1281555	1898979
Equity	131090	312528	912341	2152099	6212999	9734944	11139935	11829929	13067993
Total assets	497563	837266	2049436	5673037	15255131	21655310	23720818	24787473	27861694
Income statement									
Revenue	491688	880230	1231647	4224742	10450676	15187189	16499129	17461022	19599172
Operating income	60086	315836	382897	1160176	3394730	3851261	4272339	3735106	3484145
Net income	18437	20212	220494	642124	687159	1344835	1723222	1234007	1458579
Statistics									
Price			4.21	59.53	71.80	48.00	45.02	40.50	45.20
Dividend									
#config	ist:gesan	460000000	1000	Equity|Total assets|Revenue|Operating income					
