metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	483214276	998773861	1712222866	2228287703	5095195679	8985857049	9258262608	12825609581	13157074615
Short term liabilities	1041541362	3470230711	2322683532	3262065956	5273313746	6860509041	7801380990	8606206027	9394976047
Long term liabilities	3266985412	2665506800	7998440594	11829919233	22785913120	40427226845	45385647389	52864912049	55829592975
Equity	973157167	1088285190	1889164327	3913277693	6788036276	8337867236	9682175385	10653953317	11419668467
Total assets	7056432382	9406379211	15077311142	23701778534	44521524710	68501291597	76223472822	86105490460	91874970743
Income statement									
Revenue	1387448668	1527806842	2357260922	7984823450	11642462289	19083883293	21423774698	23472098082	25674934871
Operating income	213072937	-142554472	356550809	2907362234	2830525712	5222451151	6039548441	6349812354	6988029112
Net income	-130966969	-298607810	-111147055	1172021334	2007817454	3314682862	3514864228	3955051190	4254806691
Statistics									
Price	1.23	1.17	0.66	3.74	3.55	5.80	7.23	8.13	8
Dividend									
#config	ist:glyho	1950000000	1	Equity|Total assets|Revenue|Operating income					
