metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	38292000	109221000	201510000	152507273	103504545	582277402	347618323	1838933113	3049074628
Short term liabilities	492000000	720000000	1398000000	1325005640	1252011279	1781321943	2294758291	2950161671	4800941108
Long term liabilities	146272000	90000000	309000000	212885256	116770511	514317581	569604954	653528417	174689969
Equity	254885000	292841000	817000000	2523514766	4230029531	7201327677	8172032762	8932490498	9677741096
Total assets	1014562000	1387000000	3044000000	5169758762	7295517524	12295136202	13008589857	14714698425	16805786169
Income statement									
Revenue	692000000	1171000000	1982000000	4838293756	7694587512	12640553534	13159453232	14402927170	14999252446
Operating income	67000000	275000000	782000000	1361429728	1940859456	2258010463	2455885380	2460185760	2349536620
Net income	1463000	68000000	126000000	199235954	272471908	1186224741	1183092954	1078186668	1032277235
Statistics									
Price					20.40	24.18	21.90	23.70	22.42
Dividend						0.0129			0.0162
#config	ist:goknr	350000000	1	Equity|Total assets|Revenue|Operating income					
