metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	73612455	75829343	115930664	436952616	1103519946	2146432109	2561188836	1459428454	2216991783
Short term liabilities	26000000	22000000	79185388	164012849	596187588	424925112	448017983	490981359	361664591
Long term liabilities	1250000	23200000	51230363	104133871	120012365	78750255	77060014	40671320	77885796
Equity	54312750	167658201	362478526	1513846383	3124799535	6076230443	7268544965	7916100895	8990313561
Total assets	240835739	373242270	802797448	2615582934	5174338747	9366051236	10493271483	10856919493	13803834530
Income statement									
Revenue	417818716	444525005	633490056	1704888168	4501614002	8329342630	9072856277	9892695985	10065322178
Operating income	39582279	71969047	104126930	348565400	1397858370	2312941217	2423087479	2801658195	2893369661
Net income	26352283	54360643	68103550	225062341	1083693520	1650141811	1803313565	2039775355	2315571298
Statistics									
Price				17.29	65.40	198.70	236.60	286.00	368
Dividend				0.0108	0.0014	0.0032		0.0029	
#config	ist:grsel	102000000	1	Equity|Total assets|Revenue|Operating income					
