metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	174457909	659990037	1179720584	1083379197	2279416182	5180676565	5732256841	5806759211	8455004237
Short term liabilities	1465961474	1542470426	2559498555	5515983218	7310818067	10088616943	10721428738	9352048809	8548093025
Long term liabilities	117472564	70585949							
Equity	554588165	1080254626	2718613989	5790862933	13370435005	17992910011	20972333743	23701354457	27299152072
Total assets	4285638863	5168902951	13049609891	20857417726	32032514650	43852983854	49937869667	52639746105	61478448291
Income statement									
Revenue	4344496369	5413712258	10764791265	25286749983	35541343688	48441078603	54856545875	56173475703	55358664286
Operating income	182090378	472763948	458683602	1123634065	2866933522	2663323798	5244118737	7675437048	8848324512
Net income	-149740564	262056082	523125635	757352143	-417275408	629075729	2296796608	4679726488	5610003365
Statistics									
Price	8.90	84.05	78.50	264.30	169.10	273.50	260.50	228.30	285
Dividend									
#config	ist:gubrf	334000000	1	Equity|Total assets|Revenue|Operating income					
