metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	23988350	50726430	66108548	320854864	465312347	432187592	568011655	508102064	483674507
Short term liabilities	1087062	29089279	46450365	42584444		167205372	354254173	339986319	180036451
Long term liabilities			13694868			23737468	49981147	48845298	47099343
Equity	82986937	127402257	266129335	867918523	1497190639	2094766399	2311534409	2546900602	2777183793
Total assets	104390933	178611104	371194109	1017188699	1729815596	2615995964	3117490381	3327528857	3432521583
Income statement									
Revenue	93876905	88974220	127424959	311102695	609051324	1122416793	1251681052	1384888690	1543626559
Operating income	32335453	24304902	28009261	108257942	222096562	310213393	331185266	351075559	377229558
Net income	31300316	22206331	23351517	58544791	132168362	276880664	297727749	327066586	372203406
Statistics									
Price				11.82	25.01	50.95	47.10	40.82	48
Dividend									
#config	ist:httbt	300000000	1	Equity|Total assets|Revenue|Operating income					
