metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30	2025/12/30
Balance sheet										
Cash & cash equivalents		3303565	19035236	14829285	703075646	304911493	52792900	145466065	41215197	290452038
Short term liabilities		19929401	73647795	191347390	399294722	321496223	379366669	838522177	1153605637	1895566697
Long term liabilities		27697031	25855380	38241996	72903137	556183598	631757902	799687112	1100073958	1647695138
Equity		44115307	37941396	39838096	1673302089	3022862768	3557101113	4082357190	4241882494	4447172209
Total assets		92211412	327668344	642964643	2564765341	5417610177	6420465835	7754016712	9385116068	11013126683
Income statement										
Revenue		106453352	226417906	787778821	2046897241	3954814066	4091801449	4450847186	4465504744	5287314404
Operating income		9003512	14388918	138307776	453324641	295929154	397252025	444351238	315300607	355258945
Net income		24588452	5756687	108456754	219222887	648423565	692511752	873420392	861757465	643593444
Statistics										
Price					7.36	13.14	10.82	12.12	15	14
Dividend						0.0064		0.0166		
#config	ist:kboru	600000000	1	Equity|Total assets|Revenue|Operating income						
