metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	27146794	30301226	5336962	56568021	293892605	309798203	285891117	216687455	236855200
Short term liabilities	3987949	9225223	5501587	10770387	6007710	9661623	8391372		
Long term liabilities	4112332	8986441	2004376	5491770	5644538	1755615	1600458		
Equity	89941897	161380600	167589660	231962258	588301513	990005643	1062270373	1052116953	1133400884
Total assets	159129507	327202905	300327454	377635140	933567239	1466564255	1574836470	1483002407	1546994143
Income statement									
Revenue	123768574	171973987	265074491	391525032	1107198075	1918951485	2113509247	2265546169	2604131894
Operating income	22442553	30732672	10475941	82270581	181756908	343782686	218685850	144662028	153229078
Net income	17194535	30489433	7172790	67465575	85955325	210814060	157284838	65919868	149553378
Statistics									
Price	1.12	2.08	1.92	3.14	6.16	8.65	11.43	9.15	9.31
Dividend		0.0031	0.0019	0.0025	0.0043	0.0017	0.0029		
#config	ist:kfein	197500000	1	Total assets|Revenue|Operating income					
