metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents			250334732	264258661	674964867	1286118797	1266874832	1422189338	1243000000
Short term liabilities			57534109	107005294	218361996	478732188	392308778	257174068	500000000
Long term liabilities			14182827	5395137	23619859	1218848265	1194606471	1400461324	1589200443
Equity			435380716	653402814	1760932880	2867441979	3278397554	3524753589	3883118201
Total assets			925159861	1536683306	3755684134	6320712567	7163443291	7651793327	8534487482
Income statement									
Revenue			1298811232	2463937770	6191986672	9428175620	10470896645	11291427141	12644943781
Operating income			49746882	63438797	302208627	388508879	469733876	392135390	497321519
Net income			20411820	52805913	355864744	350987082	441974190	294398310	341236769
Statistics									
Price			3.06	8.15	6.48	9.77	8.45	11.85	15
Dividend									
#config	ist:kimmr	240000000	1	Equity|Total assets|Revenue|Operating income					
