metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	21250923	56969225	118128096	1316995438	731417766	2326028555	379965837	212723569	459742793
Short term liabilities	24447888	49174598	221393583	490452975	2034941524	3358161433	5815911419	6758068242	7304133371
Long term liabilities	5411878	6886428	67400739	688028518	1550270939	5528872569	4466924817	5265723422	5106602440
Equity	42482885	133791439	286577755	1278733930	2707270170	4442233625	5220422671	5358463816	5110217715
Total assets	175997469	320073376	940425952	4376862585	11622164447	25471047479	27625994595	32041717822	35082138935
Income statement									
Revenue	186625739	201141518	611807669	1791154285	3965843464	9907829244	10940600018	12462021262	13197395647
Operating income	33845823	36273059	232600097	615695681	617832463	742122078	847516127	574964935	401222236
Net income	27654392	23978951	130667738	469060654	431000170	273914218	207613239	-699054551	-1322068975
Statistics									
Price		1.42	3.80	49.01	73.90	39.20	30.64	20.34	36.36
Dividend			0.0034	0.0022	0.0009	0.0009	0.0014		
#config	ist:kontr	650000000	1	Equity|Total assets|Revenue|Operating income					
