metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents			678476000	871812000	359000000	585006930	1025356409	855847520	828388576
Short term liabilities			10167000000	10973000000	8471000000	4595542680	6254382663	6687415173	6653569740
Long term liabilities			3819000000	1576000000	1477000000	1854235366	2278102735	2189852113	2103429950
Equity			2187000000	3019000000	4035000000	6173520137	6810841128	6879350745	6816569975
Total assets			10799966560	9920000000	8252000000	19345801977	22213210450	22756750581	24116884776
Income statement									
Revenue			14383000000	16017000000	17193000000	25086294418	26974452355	28276811181	30000703014
Operating income			76000000	1395000000	1579000000	113012067	105392538	258872752	-11903740
Net income			807000000	1747000000	1804000000	-396675311	-789717364	-1095291184	-1341153049
Statistics									
Price					25.69	20.12	15.35	14.73	18
Dividend									
#config	ist:koton	829650000	1	Equity|Revenue					
