metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity		50525931	114305131	281222370	1163747262	4086384065	5050243464	6566548206	9044897766
Total assets		328478567	532277077	1001244418	3435987305	18914951780	18831977956	24252501533	34980348406
Income statement									
Revenue		86505856	178170778	447865494	1322125844	4900335827	7017293066	8311412107	10736151567
Operating income		2591876	36933201	147334598	1005847824	3075078088	3870386307	6230636830	9015220187
Net income		1602010	27196453	115525669	750182993	2159865716	2630134654	4314859733	6306949782
Statistics									
Price					7	5	6	8.15	13
Dividend						0.0125	0.0151		
#config	ist:ktlev	2070000000	1	Revenue|Net income					
