metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		17037484	14304546	34228744	324802722	43784670	80600403		67572355
Short term liabilities		118601919	188796959	216076093	1901836566	339991118	378417032	430000000	370761029
Long term liabilities		90300291	117618915	171174506	187115987	270688306	314483954	371000000	514576210
Equity		58518791	179715374	469264118	1450954801	2104199183	2269086717	2444443836	2570067358
Total assets		402733971	779471416	1273654525	2391475966	3477017727	3730130981	4084072806	4319911080
Income statement									
Revenue		311494859	537043600	1162919504	1655627563	2391870143	2533003684	2745604272	3015442703
Operating income		19927808	87602196	170329310	195514584	206898911	205282413	218180497	254203891
Net income		-3129791	28606239	96707240	129040142	113263394	94812877	111271943	121259371
Statistics									
Price					14.20	12.80	12.20	13.46	14
Dividend									
#config	ist:marbl	228600000	1	Equity|Total assets|Revenue|Operating income					
