metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		62592605	126960899	217493937	1640761009	1646506453	1852096514	1610279810	1874535913
Short term liabilities		337600570	720896766	1302393232	1977199912	3391864999	3980253526	4325136604	4820756726
Long term liabilities		211169367	151498751	308629893	396514923	571572052	544739194	742836002	918011453
Equity		357282668	583645064	822930068	2768047202	3652174182	3805523194	3874544381	4307283831
Total assets		1285660821	2477802150	3562881042	6857856100	8850113471	10196316317	10931657679	12530018161
Income statement									
Revenue		2081551328	4291957471	8840193329	11726940184	17935638653	18553351130	19763109351	20999579110
Operating income		121966402	252270651	560589982	707403703	622742086	575560175	410260901	438232831
Net income		44094961	4288647	81690973	300121994	422605671	449555324	954236968	1170528350
Statistics									
Price					24.54	32.38	28.94	26.30	33
Dividend									
#config	ist:megmt	265000000	1	Equity|Total assets|Revenue|Operating income					
