metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	2328309	3230793	3632341	8066555	12817355	22545866	23127182	22156503	31034865
Short term liabilities	1437104	2155642	2044659	2443041	2978835	4823450	5202698	5549011	5659817
Long term liabilities	5400315	4616639	4035105	5012249	7291143	16272191	20153266	22003699	25102544
Equity	352503	31061	536064	4045688	36024318	57309280	63982246	66827735	75697388
Total assets	13817048	15378059	18100325	36423868	92129481	150058883	162405226	178933781	195397660
Income statement									
Revenue	22864760	28790190	36272243	74501977	181674337	293779664	319809892	347213163	379609840
Operating income	831224	1033952	708396	2725020	-6610061	-9475735	-9252568	-10270480	-9083747
Net income	-460670	-402949	358881	2579829	8905395	6538759	6304329	5975755	6616569
Statistics									
Price	24.40	42.18	37.06	146.50	341.00	539.00	482.50	494.75	445.00
Dividend					0.02	0.01	0.01		
#config	ist:mgros	181054233	1000	Total assets|Revenue					
