metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	305663	374997	680241	980056	2812373	2727621	3614754	8786441	7845995
Short term liabilities	860803	977845	1274251	1646280	3062431	4073264	3204841	1851915	2269263
Long term liabilities	1487880	1513752	1474898	1386287	2978345	3901595	7338214	15732877	17742679
Equity	230002	282387	538636	1805022	12675031	22626870	26114774	28474794	32180210
Total assets	3914486	4571850	5748121	8435759	28415103	47291391	56168004	65843161	73135655
Income statement									
Revenue	3703598	4014679	5795954	9836916	22449345	39689926	43483932	47653485	50935150
Operating income	522931	753606	1015530	1837674	4371685	7129820	7947927	8899379	9494286
Net income	56254	122997	355209	1674656	4747932	5785801	6309542	6203509	5615841
Statistics									
Price	16.20	19.64	29.50	90.20	146.40	379.00	326.00	341.50	332
Dividend									
#config	ist:mpark	191012202	1000	Equity|Total assets|Revenue|Operating income					
