metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents			204692244	347000000	313629083	1022113837	1450737698	1368499724	660509020
Short term liabilities			619231	1460000	1983295	14847206	15537045		
Long term liabilities			1352111	1067381	129034	22959947	25676786		
Equity			121438474	280889386	690732984	1894327799	1997726743	2020547917	2050660850
Total assets			385340949	773433002	1346674577	2692892154	2695554865	2693735126	2718363839
Income statement									
Revenue			195133252	328072383	771258659	1199707339	1314534770	1295947728	1586603352
Operating income			49564066	137791049	262057071	428523367	440646988	255079515	193287406
Net income			55677401	135714800	250274375	402137009	516283188	369856666	358588521
Statistics									
Price					29.67	121.70	121.00	110.90	147.90
Dividend									
#config	ist:odine	110500000	1	Equity|Total assets|Revenue|Operating income					
