metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		11800000	76222000	538000000	200584108	95117962	412216323	324805811	650549986
Short term liabilities		236000000	436000000	1111000000	850698793	1140283503	1552775400	1423984485	1142433378
Long term liabilities		48888000	21482000	256693000	270475670	186063294	164031005	173454908	910868895
Equity		179925222	318911845	640380299	1730550152	2850999926	3234265834	3581119556	3858044284
Total assets		632000000	1178000000	2569000000	4039749055	5631353307	7456176167	8199034007	9671121513
Income statement									
Revenue		1300000000	3169000000	7609000000	11451494440	15872565503	17025352861	17319656263	17643175011
Operating income		102044319	198787888	559091000	1022240128	1749238601	1905467322	2022910856	2057220062
Net income		55149613	85531415	312091039	134108330	356583041	436685593	549738598	490217437
Statistics									
Price					43.92	41.10	40.20	41.76	65
Dividend									
#config	ist:ofsym	146250000	1	Equity|Total assets|Revenue|Operating income					
