metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	34494610	81538746	41473281	78063125	207211438	142109037	136986693	153277619	138565909
Short term liabilities	36770442	62211316	54214838	123102471	177396087	88902061	98132592	136450439	142104068
Long term liabilities	8033180	13557942	3546864	833338	5788030	4570011	4186544	3651556	
Equity	185826805	241404005	345324093	664496280	1321746747	2533379360	2869594603	3222299587	3584581344
Total assets	295274324	398703817	581655889	1136090843	2185879243	3862603297	4430357183	4997057176	5440387554
Income statement									
Revenue	140753087	165053637	308758884	719669548	1975946092	3428987044	3616392810	3626166224	3690218450
Operating income	59315532	63998447	114431373	369767103	759170986	1826070179	1892905996	1899917759	1951207881
Net income	45307743	54578136	103961364	309625925	218283463	691194087	676745585	696702316	628088900
Statistics									
Price	3.09	4.59	6.07	26.50	62.80	84.30	88.00	70.55	70.60
Dividend									
#config	ist:orge	80000000	1	Equity|Total assets|Revenue|Operating income					
