metricName,2019/12/30,2020/12/30,2021/12/30,2022/12/30,2023/12/30,2024/12/30,2025/3/30,2025/6/30,2025/9/30,2025/12/30,2026/3/30
Balance sheet,,,,,,,,,,,
Cash & cash equivalents,420774,534586,476561,2037147,5835947,8428303,11397844,7591457,13925574,13819664,12986897
Short term liabilities,368784,810274,145833,895351,1521998,111116,1159611,1326145,2533810,2632474,2566568
Long term liabilities,410084,19055,321197,41113,136449,111324,2190593,2267555,1173587,1223638,1362
Equity,2010380,2282151,2977921,7364215,26666146,45621448,46361657,51698544,59016862,62952207,69393865
Total assets,3358734,3972726,4875634,11357888,35376090,56436454,65236143,71000342,80037100,80297285,85356577
Income statement,,,,,,,,,,,
Revenue,2184761,2932234,4680981,12706677,30699746,44430668,46621222,49640582,53597107,56502601,56857363
Operating income,162340,385089,939317,3386754,7623144,11395442,12159819,11323504,12028818,11347996,10558121
Net income,113616,358453,725165,4500006,8030213,7167377,7356629,7813953,9120025,8762754,7869000
Statistics,,,,,,,,,,,
Price,1.43,2.25,1.96,5.39,14.78,23.38,29.86,21.74,21,23,23
Dividend,,,,,,,,,0.0459,,
#config,ist:oyakc,4861655783,1,Equity|Total assets|Revenue|Operating income,,,,,,,
