metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	420774524	534586518	476561276	2037147767	5835947913	8428303861	11397844563	7591457572	13925574069
Short term liabilities	368784124	810274671	145833490	895351602	1521998658	111116890	1159611639	1326145638	2533810015
Long term liabilities	410084731	19055021	321197169	41113604	136449673	111324752	2190593784	2267555011	1173587452
Equity	2010380209	2282151205	2977921193	7364215108	26666146623	45621448472	46361657889	51698544034	59016862781
Total assets	3358734585	3972726540	4875634189	11357888086	35376090476	56436454382	65236143101	71000342974	80037100898
Income statement									
Revenue	2184761224	2932234571	4680981940	12706677549	30699746814	44430668166	46621221339	49640581155	53597106441
Operating income	162340596	385089907	939317649	3386754202	7623144210	11395442940	12159820031	11323504740	12028819103
Net income	113616825	358453306	725165282	4500006923	8030213882	7167377286	7356629592	7813953501	9120025976
Statistics									
Price	1.43	2.25	1.96	5.39	14.78	23.38	29.86	21.74	21
Dividend									0.0459
#config	ist:oyakc	4861655783	1	Equity|Total assets|Revenue|Operating income					
