metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		2710068	920769	8772505	157060644	146840450	23360152	17467319	85068168
Short term liabilities			15183024	36169780	33127371	119228641	143062339	154530430	184733106
Long term liabilities			1590521	1140879	3411260	26003379	23905598	52836066	237614269
Equity		3701537	200347720	96041855	1099291654	1808190888	2053476649	2200724979	2397871332
Total assets		14897868	66918858	383468284	1568225710	2969016083	3099950654	3378718283	3847706274
Income statement									
Revenue		56670051	295851036	533409319	710020359	1490203219	1952594421	2245570801	2447982911
Operating income		3377417	27192966	98237959	424078755	410340721	470302390	371644271	402867548
Net income		2600097	16271245	75989986	235746040	206282242	253406040	159861024	165066114
Statistics									
Price					13.38	28.92	38.90	88.25	114
Dividend									
#config	ist:paseu	672000000	1	Equity|Total assets|Revenue|Operating income					
