metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	52418487	110903277	99823827	637658607	517642604	605986534	327127062	420656407	132359291
Short term liabilities	3695353	8694874	5007092	6555418	150487901	24589275	307248232	325213989	340487502
Long term liabilities	4711998	10285053	6153879	17934923	25665224	53216099	57047167	64255827	58969873
Equity	161114051	210791627	967100992	1466638913	2544127933	3402444337	3679637837	3897338727	4096021854
Total assets	1237099008	1758158404	2632474317	4487718193	8062514227	9771878150	10929233821	12460356225	12792711252
Income statement									
Revenue	2801000000	4206000000	5659271479	9783134720	18198902432	23939917137	24837158627	27165952454	29433148206
Operating income	101000000	141000000	172947190	405985795	795384226	841972027	867795771	914526183	885421675
Net income	36000000	11000000	-19178398	103680477	195742392	339818960	312936283	317004318	198874147
Statistics									
Price			41.89	53.20	18.64	15.65	13.89	13.16	16
Dividend									
#config	ist:penta	393516000	1	Equity|Total assets|Revenue|Operating income					
