metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	4338222925	3839606368	9716239263	17096681032	36287220364	61977849976	58387714700	54702606418	50433677329
Short term liabilities	2294863850	3896689493	7767551375	9886572635	18624575640	29250827916	28484085306	26343854621	35710933451
Long term liabilities	8460811498	15115403578	28898415157	51113367892	100893663449	137056673716	147849997227	166085410756	183613638996
Equity	5342169207	5386417638	6869846081	18044743319	54669186221	74919092796	80409897910	97122362450	112697676495
Total assets	21059321198	29070672791	52963051367	95803046438	201955079557	283319776841	309866627443	349753718195	388282980005
Income statement									
Revenue	11025224523	4803559909	10664406707	42732213696	70531531601	111822522278	118019294296	129871657036	142181229445
Operating income	2049834597	-1551900788	-570740576	10144305773	14450344969	22629346879	20550660522	17603502383	17417168308
Net income	1334567915	-1965097057	-1972478349	7100145148	20907501797	13285437677	14151791329	15287087173	15291824205
Statistics									
Price	17.30	15.25	17.42	98.21	136.98	214.20	246.30	257.00	217
Dividend									
#config	ist:pgsus	500000000	1	Equity|Total assets|Revenue|Operating income					
