metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	24515492	49522410	16831334	227009941	266469029	464358098	314240348	688471756	485098107
Short term liabilities	151000000	242000000	267708475	246493542	261542797	493772689	527168636	1095474908	1184603734
Long term liabilities	71500000	197500000	224251754	200594663	156167417	273073474	349546341	611121776	591958074
Equity	421873000	538000000	723104542	1368556770	3913406655	6159110918	6895156083	7420435444	7937213715
Total assets	899000000	1413000000	1617789170	2296361128	5613967126	9060979263	10336075999	11784195466	12670808128
Income statement									
Revenue	685939000	654000000	835212076	1578028874	2550229017	4099578817	4704041360	5607957358	6131772897
Operating income	164911000	211000000	343969783	576423377	551525023	1195372452	1570925483	1851395728	1714341626
Net income	85843000	114000000	171516322	394421672	39570774	577676371	751771711	693224345	404498725
Statistics									
Price				15.56	14.68	28.74	26.18	25.00	25.22
Dividend					0.0045	0.0022		0.0328	
#config	ist:pltur	244750000	1	Equity|Total assets|Revenue|Operating income					
