metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity	262154106	337902706	439743930	89087787	2015755915	4369253366	5179063679	6489982876	7532032021
Total assets	1276030751	1790113764	2280945511	5442491581	10864865542	25623099046	29666554432	35326368788	38782463898
Income statement									
Revenue	1238078671	1699439187	2220372315	6148770094	12815129659	31362012105	34875463010	39302635866	42428444686
Operating income	76249944	75802601	97958521	257719416	1046167828	2843834148	2997309982	4940415329	5554558206
Net income	50083088	58923677	68315828	179719075	901936203	2211988094	2100464082	3258074763	3791439046
Statistics									
Price	3.43	15.68	13.99	21.34	240.60	517.00	248.00	234.80	241
Dividend									
#config	ist:raysg	163069855	1	Total assets|Revenue|Operating income|Net income					
