metricName,2019/12/30,2020/12/30,2021/12/30,2022/12/30,2023/12/30,2024/12/30,2025/3/30,2025/6/30,2025/9/30,2025/12/30,2026/3/30
Balance sheet,,,,,,,,,,,
Cash & cash equivalents,43154749,223048020,426697788,688296732,1522048778,2509674988,2795359866,2869901247,3182486590,1830623424,5595373983
Short term liabilities,433285085,551590412,785976764,783169147,1181657539,2258662184,2216396229,2156584572,1827038902,3109133406,4428350080
Long term liabilities,630807222,761685324,867267798,1634233110,1222847935,2877403224,2164180911,2505515354,3497680982,3089690261,3549277486
Equity,1698535301,2107707036,3949820792,12285148684,30196946850,45858030712,58263844728,62251401339,67225605015,86185222788,95458865905
Total assets,2797660567,3488987951,5670383640,14817154181,33924907766,64030334237,69001082542,72534628745,79163780961,102202427828,113713833432
Income statement,,,,,,,,,,,
Revenue,215593274,264004437,324989231,662251735,1671923325,3336431564,3416607300,3335299382,3212903414,3530301307,3958780226
Operating income,730415087,682573377,1860735448,8719590544,18271428160,21116027498,20772662373,20594126896,20343522927,3062632983,3559398744
Net income,548706853,410426474,1547649705,8338680843,17245409086,9207296660,16953325522,16811703921,16356227509,26340549831,18616288136
Statistics,,,,,,,,,,,
Price,0.70,0.81,0.92,3.88,6.81,16.63,14.88,19.85,20,21,30
Dividend,,,,,,,,,,,
#config,ist:rygyo,2000000000,1,Equity|Total assets|Revenue|Operating income,,,,,,,
