metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	131453687	285541959	440060893	717168094	1744459459	2911766394	2892155672	3951428619	4193466610
Short term liabilities	554075576	685769996	966854064	946740729	2409975655	3164956812	3687269712	4065377588	3529759685
Long term liabilities	667057079	856197940	964255862	1841809874	1365659616	2874633941	2661696093	3150588931	4340206854
Equity	52761849	437347070	934348604	1851821886	3338900738	7275567450	18008750325	18705897393	20609130498
Total assets	1427043686	2328620713	3388459635	5304767559	9890413134	19655022730	31422582949	33675237452	37273265007
Income statement									
Revenue	662132343	822272565	1022284724	1942695193	6699058797	11149078133	12190493147	12071705523	12047376912
Operating income	207642218	260880110	316455824	803841854	2895826539	5487739386	5258326453	5047473786	4641022821
Net income	7032130	355628084	-57678957	222148292	740824604	1393220862	897304164	633004403	-423136101
Statistics									
Price	0.56	1.18	0.59	3.01	7.50	22.94	17.21	15.46	15
Dividend									
#config	ist:rysas	2000000000	1	Equity|Total assets|Revenue|Operating income					
