metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents			102000000	40000000	123000000	790682318	793742501	583246300	284452467
Short term liabilities			4000000	18500000	49000000	41526317	42656812	32000000	38000000
Long term liabilities			2300000	792000		38000000	29078031	40000000	12666622
Equity			1038000000	982000000	1642000000	3174628215	3518127572	3640631944	3925562586
Total assets			1290000000	1270000000	2120000000	3655825740	4030973137	4358027178	4576668346
Income statement									
Revenue			1180000000	1480000000	1660000000	1849787755	2040914569	2150792051	2419402132
Operating income			243000000	389000000	515000000	473548656	568767589	575389801	484266237
Net income			16000000	5785000	15000000	174218019	226329808	238073561	247133840
Statistics									
Price					24.00	22.04	23.04	23.18	22.80
Dividend									
#config	ist:segmn	179000000	1	Equity|Total assets|Revenue|Operating income					
