metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	6075246	5825741	5146076	40355743	18474679	10189727	19625272	69776818	23296563
Short term liabilities	34814512	47925617	93932798	145739066	181751387	415146184	395483215	513928899	550069531
Long term liabilities	33034016	26319569	69185760	99273020	103203205	129135742	109762582	114413962	134863687
Equity	179462103	227036329	152009927	198540299	285727398	429579133	448205844	436991200	434091886
Total assets	69783605	85269649	505079979	752372022	974686320	1269092297	1447945494	1640366335	1629163769
Income statement									
Revenue	150921718	189263895	302297308	587272782	657918575	1161925531	1277409835	1402786325	1496856866
Operating income	16076510	16076630	38307799	48297178	52962931	50259674	62886383	59383021	61315457
Net income	2279247	-1984474	-7347672	15731978	-22054261	-16627481	-298005	-42323826	-61172822
Statistics									
Price	0.69	1.75	2.05	3.44	2.80	5.40	6.06	7.24	5.90
Dividend									
#config	ist:sekur	77690402	1	Equity					
