metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	1092525405	1283481599	1421595247	908141997	5746338903	13698882574	10902969424	9192679054	10531689049
Short term liabilities	254210748	64835934	96322516	273011867	1253467548	7421580924	3334005198	1868316014	3792603597
Long term liabilities	32591724	22368244	11831719	17649345	428177303	61381244	52843423	44548864	
Equity	3090731521	3567512402	4366555749	6375526444	15061929090	23495013747	25829333247	26803102990	28567338993
Total assets	8501160906	9986650330	12707988164	21595061440	44780487411	69396308343	72511898630	70293559897	79633505851
Income statement									
Revenue	17808667101	21027099075	26214644330	44712209723	97719059416	128619629846	138257709413	149371070504	161909971152
Operating income	908696307	826439405	1245477591	3187589411	6084230305	9825811445	8935595582	7846049129	6542394441
Net income	694895542	586795628	922713075	2381369521	223213478	2058724847	1813013780	1359177784	931850765
Statistics									
Price	6.15	14.21	11.45	40.50	60.75	78.00	63.75	90.40	79.95
Dividend		0.0222	0.0160	0.0382	0.0074	0.0045	0.0063		
#config	ist:selec	621000000	1	Total assets|Revenue|Operating income					
