metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	431286166	1149089432	1343778022	859080628	4203641041	5782354582	6806590401	8471210676	11570462142
Short term liabilities	676635007	778057242	958494362	1464436220	2201586887	2856768545	2783399959	2804805544	2991844713
Long term liabilities	1398517016	1659701808	2050915733	2811394021	4100463703	6619896732	7374961508	8333970024	9533390395
Equity	-26864823	253897878	495889838	2865436009	21599337211	28824599619	31299170348	32689461462	35332752643
Total assets	5707800914	7761829776	9734829839	18776998210	53063985275	75541444083	84630694527	89781306863	99228057327
Income statement									
Revenue	16051963222	21353835397	28411812112	59292346817	132975792655	202173763632	219199198440	236394894209	256515437453
Operating income	328800952	870830648	1099539988	3154144410	-934400048	-6985766967	-7859075768	-8372190774	-7557544745
Net income	-298329722	271911626	318923675	2379833822	4446245751	61243347	-307856538	-827768976	-593853306
Statistics									
Price	10.71	12.64	12.73	27.96	53.85	41.06	36.44	34.80	36
Dividend			0.0111		0.0097	0.0442			
#config	ist:sokm	593290008	1	Total assets|Revenue					
