metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	109000000	345000000	498868286	642558782	778322814	1920581867	1546927688	2266589430	3208004451
Short term liabilities	108000000	300000000	371927356	324402454	489202975	1087949374	1330512754	1806631711	2061682754
Long term liabilities	141000000	130000000	226918006	140299239	217974984	341194401	412906966	657771009	621813779
Equity	214000000	315000000	506744768	1549134099	3229051635	5307531216	5854999654	6392988844	7137984894
Total assets	657000000	1000000000	1823997242	2698652087	5657786895	9289630908	9795670576	11587962152	12741570028
Income statement									
Revenue	1300000000	1300000000	2226130217	3974507185	7732833888	12247347590	12157772621	12641953671	13021867687
Operating income	117000000	179000000	287474446	507417269	865412490	1219504097	1275509849	1481116954	1433074095
Net income	77000000	97000000	208867490	623120937	236572233	893743319	953835550	991162338	949073780
Statistics									
Price				16.89	18.57	37.78	36.88	34.36	47.90
Dividend				0.0345	0.0114	0.0233		0.0255	
#config	ist:suntk	474600000	1	Total assets|Revenue|Operating income|Net income					
